StarID,RA,Dec,Spectrum
692,0.19438681,28.22513882,K0          
693,0.19465692,-9.70277372,F5          
694,0.19474711,-39.22963982,K5V         
695,0.19495134,54.33552182,B9          
696,0.19552446,-35.13339606,F3/F5V      
697,0.1957628,57.27152515,F5Ib-II     
698,0.19604985,27.51025579,F5V         
699,0.19643051,-33.23382365,G3/G5V      
700,0.19654161,9.14000705,G5          
701,0.1972748,28.42325717,F5          
702,0.19734227,66.12634754,A0          
703,0.19740305,-54.20984615,K0III       
704,0.19831589,-11.16484347,G5          
705,0.19854613,-22.81759748,F2V         
706,0.19871477,-75.47684086,K4III       
707,0.19892382,-42.17203471,K0III       
708,0.19973115,48.15237121,K4III       
709,0.19980299,-0.22969837,F0          
710,0.20036669,23.47174032,K0III       
711,0.20038743,-54.75088612,M1III       
712,0.20040538,28.60673326,F0          
713,0.20053828,48.68005386,K0          
714,0.20083976,-13.81313737,K0III       
715,0.20106614,27.09915401,K0          
716,0.20144029,-58.52479986,G5IV/V      
